alias,ingredient_id,standard_name,match_type
"very low energy diet drink, non-coffee flavours, added fibre, made with dairy milk alternative",AUS_F010623,"very low energy diet drink, non-coffee flavours, added fibre, made with dairy milk alternative",exact
"very low energy diet drink, non-coffee flavours, added fibre, made with water",AUS_F010625,"very low energy diet drink, non-coffee flavours, added fibre, made with water",exact
very low energy diet powder,AUS_F009481,"very low energy diet powder, coffee flavour",generated
very low energy diet powder  coffee flavour,AUS_F009481,"very low energy diet powder, coffee flavour",generated
very low energy diet powder  coffee flavour  added fibre,AUS_F010608,"very low energy diet powder, coffee flavour, added fibre",generated
very low energy diet powder  non-coffee flavours,AUS_F009479,"very low energy diet powder, non-coffee flavours",generated
very low energy diet powder  non-coffee flavours  added fibre,AUS_F010609,"very low energy diet powder, non-coffee flavours, added fibre",generated
very low energy diet powder coffee flavour,AUS_F009481,"very low energy diet powder, coffee flavour",generated
very low energy diet powder coffee flavour added fibre,AUS_F010608,"very low energy diet powder, coffee flavour, added fibre",generated
very low energy diet powder non-coffee flavours,AUS_F009479,"very low energy diet powder, non-coffee flavours",generated
very low energy diet powder non-coffee flavours added fibre,AUS_F010609,"very low energy diet powder, non-coffee flavours, added fibre",generated
"very low energy diet powder, coffee flavour",AUS_F009481,"very low energy diet powder, coffee flavour",exact
"very low energy diet powder, coffee flavour, added fibre",AUS_F010608,"very low energy diet powder, coffee flavour, added fibre",exact
"very low energy diet powder, non coffee flavours",AUS_F009479,"very low energy diet powder, non-coffee flavours",generated
"very low energy diet powder, non coffee flavours, added fibre",AUS_F010609,"very low energy diet powder, non-coffee flavours, added fibre",generated
"very low energy diet powder, non-coffee flavours",AUS_F009479,"very low energy diet powder, non-coffee flavours",exact
"very low energy diet powder, non-coffee flavours, added fibre",AUS_F010609,"very low energy diet powder, non-coffee flavours, added fibre",exact
vine leaf,AUS_F009491,"vine leaf, grape, canned",generated
vine leaf  grape  canned,AUS_F009491,"vine leaf, grape, canned",generated
vine leaf  stuffed,AUS_F009495,"vine leaf, stuffed",generated
vine leaf grape canned,AUS_F009491,"vine leaf, grape, canned",generated
vine leaf stuffed,AUS_F009495,"vine leaf, stuffed",generated
"vine leaf, grape, canned",AUS_F009491,"vine leaf, grape, canned",exact
"vine leaf, stuffed",AUS_F009495,"vine leaf, stuffed",exact
vinegar,AUS_F009499,"vinegar, balsamic",generated
vinegar  balsamic,AUS_F009499,"vinegar, balsamic",generated
vinegar  cider,NZ_P59,"vinegar, cider",generated
vinegar  except balsamic vinegar,AUS_F009498,vinegar  except balsamic vinegar,exact
vinegar balsamic,AUS_F009499,"vinegar, balsamic",generated
vinegar cider,NZ_P59,"vinegar, cider",generated
"vinegar, balsamic",AUS_F009499,"vinegar, balsamic",exact
"vinegar, cider",NZ_P59,"vinegar, cider",exact
vitamin c,AUS_F009501,vitamin c,exact
vodka  and  chocolate flavoured milk blend,NZ_B1035,"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
vodka  and  chocolate flavoured milk blend  4% alcohol by volume  pre-mixed,NZ_B1035,"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
vodka  and  chocolate flavoured milk blend 4% alcohol by volume pre-mixed,NZ_B1035,"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre mixed",NZ_B1035,"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",NZ_B1035,"vodka  and  chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",exact
vodka  and  energy drink v,NZ_B1041,"vodka  and  energy drink v , 10% alcohol by volume, pub or home-mixed",generated
vodka  and  energy drink v   10% alcohol by volume  pub or home-mixed,NZ_B1041,"vodka  and  energy drink v , 10% alcohol by volume, pub or home-mixed",generated
"vodka  and  energy drink v , 10% alcohol by volume, pub or home mixed",NZ_B1041,"vodka  and  energy drink v , 10% alcohol by volume, pub or home-mixed",generated
"vodka  and  energy drink v , 10% alcohol by volume, pub or home-mixed",NZ_B1041,"vodka  and  energy drink v , 10% alcohol by volume, pub or home-mixed",exact
vodka  and  energy drink v 10% alcohol by volume pub or home-mixed,NZ_B1041,"vodka  and  energy drink v , 10% alcohol by volume, pub or home-mixed",generated
vodka  and  lemonade,NZ_B1039,"vodka  and  lemonade, 10% alcohol by volume, pub or home-mixed",generated
vodka  and  lemonade  10% alcohol by volume  pub or home-mixed,NZ_B1039,"vodka  and  lemonade, 10% alcohol by volume, pub or home-mixed",generated
vodka  and  lemonade 10% alcohol by volume pub or home-mixed,NZ_B1039,"vodka  and  lemonade, 10% alcohol by volume, pub or home-mixed",generated
"vodka  and  lemonade, 10% alcohol by volume, pub or home mixed",NZ_B1039,"vodka  and  lemonade, 10% alcohol by volume, pub or home-mixed",generated
"vodka  and  lemonade, 10% alcohol by volume, pub or home-mixed",NZ_B1039,"vodka  and  lemonade, 10% alcohol by volume, pub or home-mixed",exact
"vodka  and  non chocolate flavoured milk blend, 4% alcohol by volume, pre mixed",NZ_B1036,"vodka  and  non-chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
"vodka  and  non cola flavoured soft drink, 5% alcohol by volume, pre mixed",NZ_B1034,"vodka  and  non-cola flavoured soft drink, 5% alcohol by volume, pre-mixed",generated
"vodka  and  non cola flavoured soft drink, 7% alcohol by volume, pre mixed",NZ_B1033,"vodka  and  non-cola flavoured soft drink, 7% alcohol by volume, pre-mixed",generated
vodka  and  non-chocolate flavoured milk blend,NZ_B1036,"vodka  and  non-chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
vodka  and  non-chocolate flavoured milk blend  4% alcohol by volume  pre-mixed,NZ_B1036,"vodka  and  non-chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
vodka  and  non-chocolate flavoured milk blend 4% alcohol by volume pre-mixed,NZ_B1036,"vodka  and  non-chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",generated
"vodka  and  non-chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",NZ_B1036,"vodka  and  non-chocolate flavoured milk blend, 4% alcohol by volume, pre-mixed",exact
vodka  and  non-cola flavoured soft drink,NZ_B1034,"vodka  and  non-cola flavoured soft drink, 5% alcohol by volume, pre-mixed",generated
vodka  and  non-cola flavoured soft drink  5% alcohol by volume  pre-mixed,NZ_B1034,"vodka  and  non-cola flavoured soft drink, 5% alcohol by volume, pre-mixed",generated
vodka  and  non-cola flavoured soft drink  7% alcohol by volume  pre-mixed,NZ_B1033,"vodka  and  non-cola flavoured soft drink, 7% alcohol by volume, pre-mixed",generated
vodka  and  non-cola flavoured soft drink 5% alcohol by volume pre-mixed,NZ_B1034,"vodka  and  non-cola flavoured soft drink, 5% alcohol by volume, pre-mixed",generated
vodka  and  non-cola flavoured soft drink 7% alcohol by volume pre-mixed,NZ_B1033,"vodka  and  non-cola flavoured soft drink, 7% alcohol by volume, pre-mixed",generated
"vodka  and  non-cola flavoured soft drink, 5% alcohol by volume, pre-mixed",NZ_B1034,"vodka  and  non-cola flavoured soft drink, 5% alcohol by volume, pre-mixed",exact
"vodka  and  non-cola flavoured soft drink, 7% alcohol by volume, pre-mixed",NZ_B1033,"vodka  and  non-cola flavoured soft drink, 7% alcohol by volume, pre-mixed",exact
vodka  and  orange juice,NZ_B1040,"vodka  and  orange juice, 10% alcohol by volume, pub or home-mixed",generated
vodka  and  orange juice  10% alcohol by volume  pub or home-mixed,NZ_B1040,"vodka  and  orange juice, 10% alcohol by volume, pub or home-mixed",generated
vodka  and  orange juice 10% alcohol by volume pub or home-mixed,NZ_B1040,"vodka  and  orange juice, 10% alcohol by volume, pub or home-mixed",generated
"vodka  and  orange juice, 10% alcohol by volume, pub or home mixed",NZ_B1040,"vodka  and  orange juice, 10% alcohol by volume, pub or home-mixed",generated
"vodka  and  orange juice, 10% alcohol by volume, pub or home-mixed",NZ_B1040,"vodka  and  orange juice, 10% alcohol by volume, pub or home-mixed",exact
wafer,NZ_E1043,"wafer, wholegrain rice",generated
wafer  wholegrain rice,NZ_E1043,"wafer, wholegrain rice",generated
wafer wholegrain rice,NZ_E1043,"wafer, wholegrain rice",generated
"wafer, wholegrain rice",NZ_E1043,"wafer, wholegrain rice",exact
waffle,AUS_F010475,"waffle, plain",generated
waffle  plain,AUS_F010475,"waffle, plain",generated
waffle plain,AUS_F010475,"waffle, plain",generated
"waffle, plain",AUS_F010475,"waffle, plain",exact
wallaby,AUS_F010558,"wallaby, meat, cooked",generated
wallaby  meat  cooked,AUS_F010558,"wallaby, meat, cooked",generated
wallaby meat cooked,AUS_F010558,"wallaby, meat, cooked",generated
"wallaby, meat, cooked",AUS_F010558,"wallaby, meat, cooked",exact
walnut,NZ_Q1024,"walnut, kernel, halves  and  pieces, raw",generated
walnut  kernel  halves  and  pieces  raw,NZ_Q1024,"walnut, kernel, halves  and  pieces, raw",generated
walnut kernel halves  and  pieces raw,NZ_Q1024,"walnut, kernel, halves  and  pieces, raw",generated
"walnut, kernel, halves  and  pieces, raw",NZ_Q1024,"walnut, kernel, halves  and  pieces, raw",exact
warrigal greens,AUS_F009145,"warrigal greens, raw",generated
warrigal greens  raw,AUS_F009145,"warrigal greens, raw",generated
warrigal greens raw,AUS_F009145,"warrigal greens, raw",generated
"warrigal greens, raw",AUS_F009145,"warrigal greens, raw",exact
wasabi,AUS_F009512,"wasabi, root, raw",generated
wasabi  root  raw,AUS_F009512,"wasabi, root, raw",generated
wasabi root raw,AUS_F009512,"wasabi, root, raw",generated
"wasabi, root, raw",AUS_F009512,"wasabi, root, raw",exact
water  bore,AUS_F009515,"water, bore",generated
water  bottled,AUS_F009516,"water, bottled",generated
water  bottled  carbonated or soda water,AUS_F008377,"water, bottled, carbonated or soda water",generated
water  bottled  flavoured  added sugar,AUS_F009923,"water, bottled, flavoured, added sugar",generated
water  bottled  flavoured  added sugar  vitamins  and  minerals,AUS_F009517,"water, bottled, flavoured, added sugar, vitamins  and  minerals",generated
water  bottled  flavoured  no added sugar,AUS_F010529,"water, bottled, flavoured, no added sugar",generated
water  bottled  flavoured  no added sugar  added vitamins  and  minerals,AUS_F009925,"water, bottled, flavoured, no added sugar, added vitamins  and  minerals",generated
water  bottled  new zealand,NZ_C41,"water, bottled, new zealand",generated
water  filtered,AUS_F009519,"water, filtered",generated
water  ice,AUS_F009520,"water, ice",generated
water  rainwater or tank water,AUS_F009525,"water, rainwater or tank water",generated
water  tap,AUS_F009527,"water, tap",generated
